Descrição,Beneficiario,Data,Valor R$ 
Pagto conta telefone,"",2022-01-03 00:00:00,"127,91"
Pagamento de Boleto,"",2022-01-03 00:00:00,"129,61"
Pagamento conta luz,"",2022-01-03 00:00:00,"132,07"
INSS Arrecadação,"",2022-01-03 00:00:00,"133,32"
Pagamento conta luz,"",2022-01-03 00:00:00,"133,88"
Pagamento conta luz,"",2022-01-03 00:00:00,"141,75"
Impostos,"",2022-01-03 00:00:00,"142,69"
Pgto conta água,"",2022-01-03 00:00:00,"144,64"
Pagamento conta luz,"",2022-01-03 00:00:00,"145,02"
Pgto conta água,"",2022-01-03 00:00:00,"151,22"
Pagamento conta luz,"",2022-01-03 00:00:00,"163,14"
Pagamento de Boleto,"",2022-01-03 00:00:00,"164,44"
Pgto conta água,"",2022-01-03 00:00:00,"166,77"
Pagamento conta luz,"",2022-01-03 00:00:00,"171,11"
Pagamento conta luz,"",2022-01-03 00:00:00,"171,31"
Pagamento de Boleto,"",2022-01-03 00:00:00,"184,68"
Pagamento conta luz,"",2022-01-03 00:00:00,"186,53"
Pagamento conta luz,"",2022-01-03 00:00:00,"187,21"
Pagamento conta luz,"",2022-01-03 00:00:00,"194,31"
Pagamento de Boleto,"",2022-01-03 00:00:00,"195,92"
Pagamento conta luz,"",2022-01-03 00:00:00,"198,10"
Pagto conta telefone,"",2022-01-03 00:00:00,"198,95"
Pagamento conta luz,"",2022-01-03 00:00:00,"201,22"
Pagamento de Boleto,"",2022-01-03 00:00:00,"202,49"
Pagto conta telefone,"",2022-01-03 00:00:00,"203,50"
Pagamento conta luz,"",2022-01-03 00:00:00,"207,95"
Pagamento conta luz,"",2022-01-03 00:00:00,"214,37"
Pagamento de Boleto,"",2022-01-03 00:00:00,"220,00"
Pagamento conta luz,"",2022-01-03 00:00:00,"225,25"
Pagamento conta luz,"",2022-01-03 00:00:00,"226,47"
Pagamento conta luz,"",2022-01-03 00:00:00,"230,99"
Pagamento de Boleto,"",2022-01-03 00:00:00,"234,78"
Pagamento conta luz,"",2022-01-03 00:00:00,"235,65"
Pagamento conta luz,"",2022-01-03 00:00:00,"237,84"
Pagamento de Boleto,"",2022-01-03 00:00:00,"238,34"
Pagamento de Boleto,"",2022-01-03 00:00:00,"245,46"
Pagamento de Boleto,"",2022-01-03 00:00:00,"245,97"
Pagamento conta luz,"",2022-01-03 00:00:00,"248,30"
Pagamento conta luz,"",2022-01-03 00:00:00,"267,97"
Pagamento de Boleto,"",2022-01-03 00:00:00,"288,61"
Pagamento de Boleto,"",2022-01-03 00:00:00,"300,40"
Pagamento de Boleto,"",2022-01-03 00:00:00,"307,11"
Pagamento de Boleto,"",2022-01-03 00:00:00,"311,80"
Pagamento de Boleto,"",2022-01-03 00:00:00,"331,53"
Pgto conta água,"",2022-01-03 00:00:00,"347,91"
Pagamento conta luz,"",2022-01-03 00:00:00,"353,42"
Pagamento de Boleto,"",2022-01-03 00:00:00,"356,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"371,11"
Pagamento de Boleto,"",2022-01-03 00:00:00,"397,54"
Pagamento conta luz,"",2022-01-03 00:00:00,"397,72"
Pagamento conta luz,"",2022-01-03 00:00:00,"405,79"
Pagamento de Boleto,"",2022-01-03 00:00:00,"440,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"455,55"
Pagamento conta luz,"",2022-01-03 00:00:00,"466,81"
Pagamento de Boleto,"",2022-01-03 00:00:00,"484,07"
Pagamento de Boleto,"",2022-01-03 00:00:00,"506,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"509,30"
Pagamento de Boleto,"",2022-01-03 00:00:00,"602,69"
Pagamento de Boleto,"",2022-01-03 00:00:00,"612,80"
Pagamento de Boleto,"",2022-01-03 00:00:00,"655,34"
Pagamento conta luz,"",2022-01-03 00:00:00,"671,10"
Pagamento de Boleto,"",2022-01-03 00:00:00,"680,06"
Pagamento de Boleto,"",2022-01-03 00:00:00,"680,75"
Pagamento de Boleto,"",2022-01-03 00:00:00,"693,31"
Pagamento de Boleto,"",2022-01-03 00:00:00,"697,05"
Pagamento de Boleto,"",2022-01-03 00:00:00,"720,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"732,20"
Pagamento de Boleto,"",2022-01-03 00:00:00,"800,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"819,43"
Pagamento de Boleto,"",2022-01-03 00:00:00,"943,79"
Pagamento de Boleto,"",2022-01-03 00:00:00,"975,71"
Pagamento de Boleto,"",2022-01-03 00:00:00,"1000,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"1039,47"
Pagamento de Boleto,"",2022-01-03 00:00:00,"1160,31"
Pagamento de Boleto,"",2022-01-03 00:00:00,"2025,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"2347,54"
Pagamento de Boleto,"",2022-01-03 00:00:00,"5033,73"
Pagto conta telefone,"",2022-01-04 00:00:00,"19,98"
Telefone Pre-Pago,"",2022-01-04 00:00:00,"20,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"22,77"
Pgto conta água,"",2022-01-04 00:00:00,"27,89"
Pagamento de Boleto,"",2022-01-04 00:00:00,"32,00"
Pgto conta água,"",2022-01-04 00:00:00,"34,83"
Pagto conta telefone,"",2022-01-04 00:00:00,"34,99"
Pagamento de Boleto,"",2022-01-04 00:00:00,"39,90"
Pagamento de Boleto,"",2022-01-04 00:00:00,"44,50"
Pagamento de Boleto,"",2022-01-04 00:00:00,"46,56"
Pagamento de Boleto,"",2022-01-04 00:00:00,"48,60"
Pagto conta telefone,"",2022-01-04 00:00:00,"52,99"
Pagamento de Boleto,"",2022-01-04 00:00:00,"53,11"
Pagamento de Boleto,"",2022-01-04 00:00:00,"54,90"
Pagto conta telefone,"",2022-01-04 00:00:00,"54,99"
Pgto conta água,"",2022-01-04 00:00:00,"55,73"
Pagto conta telefone,"",2022-01-04 00:00:00,"56,13"
Pagto conta telefone,"",2022-01-04 00:00:00,"56,26"
Pagto conta telefone,"",2022-01-04 00:00:00,"56,34"
Pgto conta água,"",2022-01-04 00:00:00,"57,78"
Pgto conta água,"",2022-01-04 00:00:00,"58,15"
Pgto conta água,"",2022-01-04 00:00:00,"60,18"
Pgto conta água,"",2022-01-04 00:00:00,"62,21"
Pagamento de Boleto,"",2022-01-04 00:00:00,"63,50"
Pagamento conta luz,"",2022-01-04 00:00:00,"64,86"
Pagto conta telefone,"",2022-01-04 00:00:00,"64,99"
Pagamento conta luz,"",2022-01-04 00:00:00,"65,16"
Pagamento de Boleto,"",2022-01-04 00:00:00,"67,00"
Pgto conta água,"",2022-01-04 00:00:00,"68,48"
Pagamento conta luz,"",2022-01-04 00:00:00,"68,89"
Pagamento de Boleto,"",2022-01-04 00:00:00,"69,90"
Pagamento de Boleto,"",2022-01-04 00:00:00,"71,63"
Pgto conta água,"",2022-01-04 00:00:00,"73,52"
Pagamento de Boleto,"",2022-01-04 00:00:00,"77,18"
Pagamento de Boleto,"",2022-01-04 00:00:00,"79,48"
Pagamento de Boleto,"",2022-01-04 00:00:00,"79,77"
Pagamento conta luz,"",2022-01-04 00:00:00,"82,29"
Pagto conta telefone,"",2022-01-04 00:00:00,"85,99"
Pgto conta água,"",2022-01-04 00:00:00,"86,15"
Pagamento conta luz,"",2022-01-04 00:00:00,"88,44"
Pgto conta água,"",2022-01-04 00:00:00,"93,07"
Pgto conta água,"",2022-01-04 00:00:00,"94,90"
Pagamento conta luz,"",2022-01-04 00:00:00,"98,96"
Pagamento de Boleto,"",2022-01-04 00:00:00,"99,90"
Pagamento de Boleto,"",2022-01-04 00:00:00,"100,00"
Pagamento conta luz,"",2022-01-04 00:00:00,"101,97"
Pagamento conta luz,"",2022-01-04 00:00:00,"107,07"
Pagamento conta luz,"",2022-01-04 00:00:00,"108,69"
Pagamento de Boleto,"",2022-01-04 00:00:00,"110,13"
Pgto conta água,"",2022-01-04 00:00:00,"111,49"
Pagamento de Boleto,"",2022-01-04 00:00:00,"112,43"
Pagamento de Boleto,"",2022-01-04 00:00:00,"112,68"
Pgto conta água,"",2022-01-04 00:00:00,"112,73"
Pagamento de Boleto,"",2022-01-04 00:00:00,"113,94"
Pagamento conta luz,"",2022-01-04 00:00:00,"114,71"
Pagamento conta luz,"",2022-01-04 00:00:00,"115,00"
Pagamento conta luz,"",2022-01-04 00:00:00,"115,81"
Pagamento de Boleto,"",2022-01-04 00:00:00,"119,90"
Pagto conta telefone,"",2022-01-04 00:00:00,"119,90"
Pagamento conta luz,"",2022-01-04 00:00:00,"123,78"
Pagamento conta luz,"",2022-01-04 00:00:00,"125,08"
Pagamento de Boleto,"",2022-01-04 00:00:00,"125,57"
Pgto conta água,"",2022-01-04 00:00:00,"131,26"
Pagamento conta luz,"",2022-01-04 00:00:00,"133,60"
Pagamento conta luz,"",2022-01-04 00:00:00,"133,67"
Pagamento conta luz,"",2022-01-04 00:00:00,"137,92"
Pagamento de Boleto,"",2022-01-04 00:00:00,"139,20"
Pgto conta água,"",2022-01-04 00:00:00,"140,02"
Impostos,"",2022-01-04 00:00:00,"142,69"
Pgto conta água,"",2022-01-04 00:00:00,"143,67"
Pagamento conta luz,"",2022-01-04 00:00:00,"148,64"
Pgto conta água,"",2022-01-04 00:00:00,"149,13"
Pagamento de Boleto,"",2022-01-04 00:00:00,"151,67"
Pgto conta água,"",2022-01-04 00:00:00,"154,14"
Pagamento conta luz,"",2022-01-04 00:00:00,"160,39"
Pgto conta água,"",2022-01-04 00:00:00,"160,66"
Pagamento conta luz,"",2022-01-04 00:00:00,"163,93"
Pagamento conta luz,"",2022-01-04 00:00:00,"163,96"
Pagamento conta luz,"",2022-01-04 00:00:00,"164,79"
Impostos,"",2022-01-04 00:00:00,"165,74"
Pagamento conta luz,"",2022-01-04 00:00:00,"167,68"
Pagamento de Boleto,"",2022-01-04 00:00:00,"174,21"
Impostos,"",2022-01-04 00:00:00,"188,40"
Pagamento de Boleto,"",2022-01-04 00:00:00,"192,42"
Pagamento conta luz,"",2022-01-04 00:00:00,"201,23"
Pagamento conta luz,"",2022-01-04 00:00:00,"202,32"
Pagamento de Boleto,"",2022-01-04 00:00:00,"208,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"218,40"
Pagamento de Boleto,"",2022-01-04 00:00:00,"222,13"
Pagamento de Boleto,"",2022-01-04 00:00:00,"238,99"
Pagamento conta luz,"",2022-01-04 00:00:00,"253,76"
Pagamento de Boleto,"",2022-01-04 00:00:00,"259,20"
Pagamento conta luz,"",2022-01-04 00:00:00,"265,67"
Pagamento conta luz,"",2022-01-04 00:00:00,"268,91"
Pagamento de Boleto,"",2022-01-04 00:00:00,"284,57"
Pagamento conta luz,"",2022-01-04 00:00:00,"290,92"
Pagamento de Boleto,"",2022-01-04 00:00:00,"300,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"300,38"
Pagamento conta luz,"",2022-01-04 00:00:00,"316,06"
Pagamento conta luz,"",2022-01-04 00:00:00,"317,40"
Pagamento conta luz,"",2022-01-04 00:00:00,"375,62"
Pagamento de Boleto,"",2022-01-04 00:00:00,"405,54"
Pagamento conta luz,"",2022-01-04 00:00:00,"426,06"
Pagamento de Boleto,"",2022-01-04 00:00:00,"427,45"
Pagamento de Boleto,"",2022-01-04 00:00:00,"448,20"
Pagamento de Boleto,"",2022-01-04 00:00:00,"454,05"
Pagamento de Boleto,"",2022-01-04 00:00:00,"500,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"515,30"
Pagamento de Boleto,"",2022-01-04 00:00:00,"526,91"
Pagamento de Boleto,"",2022-01-04 00:00:00,"550,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"550,68"
Pagamento de Boleto,"",2022-01-04 00:00:00,"564,37"
Pagamento de Boleto,"",2022-01-04 00:00:00,"569,24"
Pagamento de Boleto,"",2022-01-04 00:00:00,"574,53"
Pagamento de Boleto,"",2022-01-04 00:00:00,"578,62"
Pagamento de Boleto,"",2022-01-04 00:00:00,"668,81"
Pagamento de Boleto,"",2022-01-04 00:00:00,"700,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"704,79"
Pagamento de Boleto,"",2022-01-04 00:00:00,"708,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"715,53"
Pagamento de Boleto,"",2022-01-04 00:00:00,"807,32"
Pagamento de Boleto,"",2022-01-04 00:00:00,"809,55"
Pagamento de Boleto,"",2022-01-04 00:00:00,"917,43"
Pagamento de Boleto,"",2022-01-04 00:00:00,"986,70"
Pagamento de Boleto,"",2022-01-04 00:00:00,"1021,07"
Pagamento de Boleto,"",2022-01-04 00:00:00,"1064,36"
Pagto cartão crédito,"",2022-01-04 00:00:00,"1535,64"
Pagamento de Boleto,"",2022-01-04 00:00:00,"2129,00"
Pagamento de Boleto,"",2022-01-04 00:00:00,"2165,72"
Pagamento de Boleto,"",2022-01-04 00:00:00,"2271,08"
Pagamento de Boleto,"",2022-01-04 00:00:00,"3855,60"
Pagamento conta luz,"",2022-01-05 00:00:00,"14,93"
Pagamento de Boleto,"",2022-01-05 00:00:00,"15,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"18,84"
Pagamento conta luz,"",2022-01-05 00:00:00,"26,75"
Pgto conta água,"",2022-01-05 00:00:00,"27,89"
Pgto conta água,"",2022-01-05 00:00:00,"29,27"
Pgto conta água,"",2022-01-05 00:00:00,"30,86"
Pagto conta telefone,"",2022-01-05 00:00:00,"31,24"
Pagamento de Boleto,"",2022-01-05 00:00:00,"32,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"32,86"
Pagamento conta luz,"",2022-01-05 00:00:00,"33,05"
Pagto conta telefone,"",2022-01-05 00:00:00,"33,56"
Pagamento de Boleto,"",2022-01-05 00:00:00,"34,00"
Pgto conta água,"",2022-01-05 00:00:00,"34,83"
Pagto conta telefone,"",2022-01-05 00:00:00,"34,99"
Pgto conta água,"",2022-01-05 00:00:00,"35,57"
Pgto conta água,"",2022-01-05 00:00:00,"36,23"
Pagamento conta luz,"",2022-01-05 00:00:00,"37,24"
Pagamento de Boleto,"",2022-01-05 00:00:00,"37,88"
Pgto conta água,"",2022-01-05 00:00:00,"38,70"
Pagto conta telefone,"",2022-01-05 00:00:00,"38,81"
Pgto conta água,"",2022-01-05 00:00:00,"39,54"
Pagto conta telefone,"",2022-01-05 00:00:00,"39,99"
Pgto conta água,"",2022-01-05 00:00:00,"41,17"
Pagto conta telefone,"",2022-01-05 00:00:00,"41,22"
Pagto conta telefone,"",2022-01-05 00:00:00,"41,62"
Pagto conta telefone,"",2022-01-05 00:00:00,"42,99"
Pagamento de Boleto,"",2022-01-05 00:00:00,"45,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"45,55"
Pagto conta telefone,"",2022-01-05 00:00:00,"46,21"
Pgto conta água,"",2022-01-05 00:00:00,"46,60"
Pagamento de Boleto,"",2022-01-05 00:00:00,"47,60"
Pagamento de Boleto,"",2022-01-05 00:00:00,"49,86"
Pagamento conta luz,"",2022-01-05 00:00:00,"50,48"
Pagamento de Boleto,"",2022-01-05 00:00:00,"51,00"
Pgto conta água,"",2022-01-05 00:00:00,"52,41"
Pgto conta água,"",2022-01-05 00:00:00,"53,84"
Pagamento conta luz,"",2022-01-05 00:00:00,"54,32"
Pagto conta telefone,"",2022-01-05 00:00:00,"54,99"
Impostos,"",2022-01-05 00:00:00,"55,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"55,30"
Pagamento conta luz,"",2022-01-05 00:00:00,"55,34"
Pgto conta água,"",2022-01-05 00:00:00,"55,73"
Pgto conta água,"",2022-01-05 00:00:00,"56,70"
Pgto conta água,"",2022-01-05 00:00:00,"57,14"
Pagamento conta luz,"",2022-01-05 00:00:00,"58,07"
Pagamento de Boleto,"",2022-01-05 00:00:00,"58,25"
Pagamento de Boleto,"",2022-01-05 00:00:00,"59,50"
Pagamento de Boleto,"",2022-01-05 00:00:00,"59,90"
Impostos,"",2022-01-05 00:00:00,"61,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"61,99"
Pagamento de Boleto,"",2022-01-05 00:00:00,"64,90"
Pagamento conta luz,"",2022-01-05 00:00:00,"64,98"
Pagamento de Boleto,"",2022-01-05 00:00:00,"66,52"
Pgto conta água,"",2022-01-05 00:00:00,"67,85"
Pagamento de Boleto,"",2022-01-05 00:00:00,"69,50"
Pagto conta telefone,"",2022-01-05 00:00:00,"69,99"
Pagamento de Boleto,"",2022-01-05 00:00:00,"70,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"70,74"
Pagamento conta luz,"",2022-01-05 00:00:00,"70,99"
Pagto conta telefone,"",2022-01-05 00:00:00,"73,95"
Pagamento conta luz,"",2022-01-05 00:00:00,"74,44"
Pagamento de Boleto,"",2022-01-05 00:00:00,"78,30"
Pgto conta água,"",2022-01-05 00:00:00,"78,60"
Pagamento de Boleto,"",2022-01-05 00:00:00,"80,94"
Pagamento de Boleto,"",2022-01-05 00:00:00,"83,02"
Pagamento conta luz,"",2022-01-05 00:00:00,"83,04"
Pagamento de Boleto,"",2022-01-05 00:00:00,"83,53"
Pagto conta telefone,"",2022-01-05 00:00:00,"84,99"
Pagamento de Boleto,"",2022-01-05 00:00:00,"85,89"
Pgto conta água,"",2022-01-05 00:00:00,"86,15"
Pagamento de Boleto,"",2022-01-05 00:00:00,"89,37"
Pagamento de Boleto,"",2022-01-05 00:00:00,"89,90"
Pagamento conta luz,"",2022-01-05 00:00:00,"91,55"
Pgto conta água,"",2022-01-05 00:00:00,"95,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"96,43"
Pagamento de Boleto,"",2022-01-05 00:00:00,"96,53"
Pagamento de Boleto,"",2022-01-05 00:00:00,"99,90"
Pagamento de Boleto,"",2022-01-05 00:00:00,"99,99"
Pagamento de Boleto,"",2022-01-05 00:00:00,"100,93"
Pgto conta água,"",2022-01-05 00:00:00,"102,66"
Pagamento de Boleto,"",2022-01-05 00:00:00,"102,67"
Pagamento de Boleto,"",2022-01-05 00:00:00,"109,90"
Pgto conta água,"",2022-01-05 00:00:00,"111,30"
Pagamento de Boleto,"",2022-01-05 00:00:00,"112,67"
Pagamento de Boleto,"",2022-01-05 00:00:00,"112,87"
Pagto conta telefone,"",2022-01-05 00:00:00,"119,90"
INSS Arrecadação,"",2022-01-05 00:00:00,"121,00"
Pgto conta água,"",2022-01-05 00:00:00,"123,70"
Pagamento conta luz,"",2022-01-05 00:00:00,"126,19"
Pagamento de Boleto,"",2022-01-05 00:00:00,"126,77"
Pgto conta água,"",2022-01-05 00:00:00,"128,83"
Pagamento de Boleto,"",2022-01-05 00:00:00,"129,31"
Pagamento de Boleto,"",2022-01-05 00:00:00,"137,93"
Impostos,"",2022-01-05 00:00:00,"142,69"
Pagamento conta luz,"",2022-01-05 00:00:00,"144,19"
Pagamento de Boleto,"",2022-01-05 00:00:00,"145,18"
Pagamento conta luz,"",2022-01-05 00:00:00,"145,93"
Pgto conta água,"",2022-01-05 00:00:00,"146,87"
Pagamento de Boleto,"",2022-01-05 00:00:00,"149,90"
Pagamento conta luz,"",2022-01-05 00:00:00,"153,17"
Pagamento de Boleto,"",2022-01-05 00:00:00,"159,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"170,47"
Pagamento conta luz,"",2022-01-05 00:00:00,"172,18"
Pagamento de Boleto,"",2022-01-05 00:00:00,"173,70"
Pagamento conta luz,"",2022-01-05 00:00:00,"175,35"
Pgto conta água,"",2022-01-05 00:00:00,"175,46"
Pagamento conta luz,"",2022-01-05 00:00:00,"176,70"
Pagamento de Boleto,"",2022-01-05 00:00:00,"177,09"
Pagamento conta luz,"",2022-01-05 00:00:00,"179,59"
Pgto conta água,"",2022-01-05 00:00:00,"181,69"
Pagamento conta luz,"",2022-01-05 00:00:00,"183,04"
Pagamento conta luz,"",2022-01-05 00:00:00,"183,05"
Pagto conta telefone,"",2022-01-05 00:00:00,"184,27"
Pagamento conta luz,"",2022-01-05 00:00:00,"188,39"
Pagamento conta luz,"",2022-01-05 00:00:00,"199,84"
Pagamento de Boleto,"",2022-01-05 00:00:00,"200,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"210,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"211,00"
Impostos,"",2022-01-05 00:00:00,"213,12"
Pagamento conta luz,"",2022-01-05 00:00:00,"215,52"
Pagto conta telefone,"",2022-01-05 00:00:00,"215,95"
INSS Arrecadação,"",2022-01-05 00:00:00,"220,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"229,91"
Pagamento conta luz,"",2022-01-05 00:00:00,"235,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"235,69"
Pagamento conta luz,"",2022-01-05 00:00:00,"236,95"
Pgto conta água,"",2022-01-05 00:00:00,"240,16"
Pagamento de Boleto,"",2022-01-05 00:00:00,"250,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"254,87"
Pagamento conta luz,"",2022-01-05 00:00:00,"259,76"
Pagamento conta luz,"",2022-01-05 00:00:00,"262,14"
Pagamento conta luz,"",2022-01-05 00:00:00,"283,88"
Pagamento de Boleto,"",2022-01-05 00:00:00,"299,56"
Pagamento conta luz,"",2022-01-05 00:00:00,"300,59"
Pagamento conta luz,"",2022-01-05 00:00:00,"314,09"
Pagamento de Boleto,"",2022-01-05 00:00:00,"316,27"
Pagamento de Boleto,"",2022-01-05 00:00:00,"326,84"
Pagamento de Boleto,"",2022-01-05 00:00:00,"328,33"
Pagamento conta luz,"",2022-01-05 00:00:00,"333,21"
Pgto conta água,"",2022-01-05 00:00:00,"341,56"
Pagamento de Boleto,"",2022-01-05 00:00:00,"345,92"
Pagamento de Boleto,"",2022-01-05 00:00:00,"349,48"
Pagamento de Boleto,"",2022-01-05 00:00:00,"355,00"
Pagamento conta luz,"",2022-01-05 00:00:00,"362,33"
Pagamento de Boleto,"",2022-01-05 00:00:00,"365,43"
Pagamento de Boleto,"",2022-01-05 00:00:00,"369,40"
Pagamento conta luz,"",2022-01-05 00:00:00,"374,93"
Pagamento de Boleto,"",2022-01-05 00:00:00,"375,86"
Pagamento de Boleto,"",2022-01-05 00:00:00,"377,85"
Pagamento conta luz,"",2022-01-05 00:00:00,"378,88"
Pagamento de Boleto,"",2022-01-05 00:00:00,"385,66"
Pagamento de Boleto,"",2022-01-05 00:00:00,"391,47"
Pagamento de Boleto,"",2022-01-05 00:00:00,"430,69"
Pagamento de Boleto,"",2022-01-05 00:00:00,"451,85"
Pagamento de Boleto,"",2022-01-05 00:00:00,"455,96"
Impostos,"",2022-01-05 00:00:00,"473,18"
Pagamento de Boleto,"",2022-01-05 00:00:00,"498,97"
Impostos,"",2022-01-05 00:00:00,"501,54"
Pagamento de Boleto,"",2022-01-05 00:00:00,"534,33"
Pagamento de Boleto,"",2022-01-05 00:00:00,"536,38"
Pagamento de Boleto,"",2022-01-05 00:00:00,"541,42"
Pagamento de Boleto,"",2022-01-05 00:00:00,"550,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"552,82"
Pagamento de Boleto,"",2022-01-05 00:00:00,"553,80"
Pagamento de Boleto,"",2022-01-05 00:00:00,"575,40"
Pagamento de Boleto,"",2022-01-05 00:00:00,"587,05"
Pagamento de Boleto,"",2022-01-05 00:00:00,"593,00"
Pagamento de Boleto,"",2022-01-05 00:00:00,"680,37"
Pagamento de Boleto,"",2022-01-05 00:00:00,"699,73"
Impostos,"",2022-01-05 00:00:00,"772,74"
Pagamento de Boleto,"",2022-01-05 00:00:00,"794,67"
Pagamento de Boleto,"",2022-01-05 00:00:00,"891,42"
Pagamento de Boleto,"",2022-01-05 00:00:00,"913,83"
Pagamento de Boleto,"",2022-01-05 00:00:00,"915,60"
Pagamento de Boleto,"",2022-01-05 00:00:00,"955,27"
Pagamento de Boleto,"",2022-01-05 00:00:00,"979,86"
Pagamento conta luz,"",2022-01-05 00:00:00,"1119,86"
